language,localization_company_name,for_company_id
ko,원티드랩,1
en,Wantedlab,1
en,OKAY.com,2
ko,이상한마케팅,3
ko,인포뱅크,4
en,infobank,4
ko,아이씨그룹,5
ko,딤딤섬 대구점,6
ko,파운데이션엑스,7
ko,엣지랭크,8
ko,커넥티어,9
ko,자버(Jober),10
ko,앨리스헬스케어,11
ko,(주)몬스터스튜디오,12
ko,SM Entertainment Japan,13
jp,株式会社SM Entertainment Japan,13
ko,쿠차,14
ko,ZMP,15
ko,株式会社ZMP,15
ko,몽키랩,16
ko,와이케이비앤씨,17
ko,코츠테크놀로지,18
ko,비고라이브,19
ko,크로싱,20
ko,트리노드,21
ko,와이즈키즈(wisekids),22
ko,Obelab,23
en,Foodpanda,24
ko,웹티즌,25
ko,마이셀럽스,26
ko,데이터얼라이언스(DataAlliance),27
ko,쿼드자산운용,28
en,쿼드자산운용,28
ko,주식회사 링크드코리아,29
ko,주렁주렁(zoolungzoolung),30
en,Amore Pacific_TEST,31
en,Luna Marketing Group,32
ko,동신항운,33
ko,히숲,34
ko,COVENANT,35
en,COVENANT,35
ko,젠틀파이,36
ko,아크로고스,37
ko,페르소나미디어,38
en,Persona Media,38
en,Rejoice Pregnancy,39
en,The Wave,40
en,CoCoon Foundation,41
ko,스트라다월드와이드(Strada),42
ko,도빗(Dobbit),43
ko,지란지교시큐리티,44
ko,캠퍼스멘토,45
ko,삼일제약,46
ko,제이에이치개발,47
ko,오케이코인코리아,48
ko,그릿연구소,49
ko,세계정부 世界政府,50
ko,투게더앱스,51
ko,Dream Agility,52
en,Dream Agility,52
ko,대성시스템,53
ko,바이럴네이션,54
ko,오가나셀,55
ko,디토나인,56
en,Haulio,57
ko,대상홀딩스(주) - existing,58
ko,만나씨이에이,59
ko,지오코리아(페루관광청),60
en,GEOCM Co.,60
jp,GEOCM,60
ko,KFC Korea,61
ko,까브드뱅(Cave de Vin),62
ko,홈스토리생활,63
ko,아이엠에이치씨(IMHC),64
ko,플라이트그래프-탈퇴,65
ko,YG PLUS,66
ko,우리말소프트,67
ko,아로마티카,68
en,Private Organization,69
ko,스피링크,70
ko,Onion Ground,71
ko,브레이브팝스,72
ko,Bidalgo,73
ko,티엠씨케이,74
ko,(주) 휴톰-중복,75
en,Chengbao,76
ko,헬프미,77
ko,(주) 새론다이내믹스,78
ko,마상소프트,79
ko,(주)아임블록,80
ko,(주)이모션글로벌-중복,81
ko,Altagram,82
ko,이베스트투자증권,83
ko,소굿마케팅,84
en,Grab,85
en,HK Yau,86
ko,더락포트컴퍼니코리아-중복,87
ko,휴마트컴퍼니,88
ko,디센터,89
ko,컬쳐히어로,90
ko,보비어스코리아,91
ko,베이글랩스,92
en,Katalis Digital,93
ko,애디터(Additor),94
en,Avanade Asia Pte Ltd,95
ko,500V2,96
ko,플라이앤컴퍼니(푸드플라이),97
ko,영우디지탈-중복,98
en,Machipopo Inc.,99
ko,시니어벤처스,100
